,Gender,Company Type,WFH Setup Available,Age,Tenure,Vacations taken,Designation,Average Hours worked per day,Employee satisfaction score,Mental Fatigue Score
125,0,0,1,63,3,2,2,5.0,5.2,0.34
126,1,1,1,35,11,10,2,4.0,5.3,0.34
127,0,0,0,51,12,8,3,5.0,5.9,0.45
128,1,0,0,49,9,8,4,6.0,5.9,0.67
129,1,1,1,62,16,6,4,4.0,8.9,0.76
130,1,1,1,29,20,12,3,4.0,5.2,0.46
131,0,0,1,55,12,6,2,5.0,4.5,0.36
132,1,1,0,41,17,4,2,3.0,6.6,0.45
133,1,1,1,29,13,10,3,5.0,3.8,0.27
134,0,1,0,55,8,10,3,7.0,7.6,0.65
135,1,0,1,43,10,2,1,4.0,5.9,0.45
136,1,1,1,42,16,12,3,6.0,5.6,0.34
137,1,0,1,22,13,8,1,3.0,5.4,0.37
138,0,1,1,55,19,7,1,2.0,4.9,0.25
139,0,0,0,55,18,6,2,5.0,7.3,0.57
140,0,0,0,39,2,8,2,5.0,5.6,0.52
141,1,1,1,53,3,8,3,4.0,5.7,0.45
142,1,1,0,29,10,3,4,8.0,7.8,0.75
143,1,1,1,60,20,8,4,7.0,6.7,0.55
144,1,0,0,44,20,3,1,4.0,6.5,0.43
145,1,0,1,21,4,6,0,1.0,1.8,0.1
146,1,1,0,65,8,9,3,6.0,8.1,0.68
147,0,1,0,48,18,0,2,5.0,6.9,0.45
148,0,0,1,63,18,1,3,7.0,6.4,0.56
149,0,0,1,23,9,4,3,8.0,7.2,0.73
150,1,0,0,44,19,3,2,5.0,8.6,0.7
151,0,0,0,58,9,5,2,5.0,5.9,0.58
152,0,1,0,34,2,7,4,8.0,9.5,0.88
153,0,1,1,61,6,4,2,6.0,6.8,0.63
154,1,0,0,33,9,4,2,5.0,6.5,0.62
155,1,0,1,37,4,5,2,3.0,3.5,0.25
156,0,0,0,43,11,8,2,3.0,4.8,0.4
157,0,1,0,29,16,4,3,8.0,7.6,0.77
158,0,1,1,43,11,3,3,6.0,6.2,0.58
159,1,1,1,22,6,7,3,6.0,3.6,0.3
160,0,1,0,55,10,2,3,6.0,8.0,0.61
161,1,0,1,31,18,7,3,5.0,6.0,0.4
162,1,0,1,31,5,11,1,3.0,3.8,0.33
163,1,1,1,32,20,5,1,2.0,2.4,0.06
164,0,0,1,38,20,3,1,4.0,4.3,0.36
165,1,0,1,34,14,3,1,2.0,3.7,0.28
166,0,0,1,65,17,0,2,6.0,5.9,0.45
167,0,1,1,51,7,12,2,5.0,5.6,0.37
168,1,0,1,62,18,8,0,1.0,1.0,0.03
169,1,1,1,47,12,4,2,5.0,7.2,0.67
170,0,0,1,63,7,0,1,3.0,6.7,0.46
171,1,0,1,32,3,4,1,2.0,5.9,0.45
172,1,0,1,48,18,3,3,8.0,7.5,0.72
173,1,0,0,32,4,2,3,6.0,5.9,0.69
174,1,0,0,63,7,8,4,7.0,7.5,0.65
175,1,1,0,48,16,5,0,1.0,4.0,0.24
176,1,0,1,62,2,9,1,3.0,5.3,0.41
177,1,1,0,26,16,12,2,5.0,7.5,0.68
178,1,0,1,56,13,9,1,2.0,5.9,0.42
179,0,1,0,32,13,1,4,7.0,7.7,0.72
180,0,0,1,58,7,8,0,2.0,4.4,0.33
181,1,0,1,40,19,0,2,3.0,5.9,0.37
182,0,0,1,53,10,3,4,6.0,5.9,0.6
183,0,0,1,36,10,6,3,5.0,6.5,0.48
184,0,1,1,50,20,5,2,4.0,5.5,0.48
185,0,0,0,33,14,8,2,5.0,5.0,0.36
186,1,0,1,34,15,4,1,1.0,5.9,0.24
187,0,1,0,65,5,3,4,10.0,9.2,0.91
188,0,1,1,51,17,6,2,5.0,5.0,0.45
189,1,1,1,55,14,4,1,2.0,4.1,0.24
190,1,0,0,44,2,10,3,6.0,5.5,0.45
191,0,0,0,62,20,11,5,9.0,8.8,0.85
192,1,0,0,33,7,7,2,4.0,5.5,0.34
193,0,1,1,64,18,7,1,3.0,5.9,0.36
194,1,0,1,24,18,1,2,4.0,4.5,0.34
195,0,1,0,35,10,2,3,6.0,8.0,0.59
196,1,0,1,31,5,11,2,4.0,5.8,0.44
197,0,0,0,58,16,5,1,3.0,4.4,0.38
198,1,1,1,65,4,2,2,4.0,6.1,0.45
199,0,1,0,31,14,0,3,6.0,7.5,0.59
200,1,0,0,27,4,10,2,7.0,8.0,0.7
201,0,1,0,32,1,6,2,3.0,6.1,0.42
202,0,1,1,40,17,2,1,2.0,5.1,0.46
203,1,0,1,22,12,3,3,4.0,5.9,0.48
204,1,0,1,33,17,9,3,5.0,4.7,0.39
205,1,0,1,55,16,6,3,5.0,5.2,0.42
206,0,1,1,58,2,8,0,1.0,5.9,0.45
207,1,0,1,53,6,10,2,5.0,5.1,0.46
208,0,1,1,39,18,0,1,2.0,4.4,0.3
209,1,1,0,50,1,7,4,6.0,6.9,0.63
210,1,0,0,44,15,12,2,5.0,5.3,0.45
211,0,0,0,50,16,2,2,3.0,5.9,0.49
212,1,0,1,25,13,4,3,6.0,6.0,0.58
213,0,1,0,63,2,0,4,7.0,8.6,0.67
214,0,0,0,42,15,11,2,5.0,7.3,0.71
215,1,0,1,52,6,3,1,3.0,5.5,0.48
216,0,0,1,33,7,0,1,3.0,2.9,0.22
217,1,1,0,56,18,12,3,6.0,5.1,0.43
218,0,0,1,48,13,3,4,8.0,5.9,0.74
219,0,0,0,32,16,12,2,5.0,6.4,0.57
220,1,0,1,30,14,3,2,3.0,5.9,0.22
221,0,0,1,29,8,5,1,4.0,4.8,0.45
222,1,0,0,58,17,2,3,4.0,5.8,0.47
223,1,0,1,40,15,1,3,4.0,6.1,0.47
224,1,0,1,26,6,8,3,5.0,5.3,0.47
225,1,1,1,47,2,11,1,4.0,5.5,0.34
226,1,0,1,49,11,5,1,3.0,5.5,0.37
227,1,0,0,50,14,7,3,7.0,7.8,0.8
228,0,1,0,41,12,5,4,8.0,8.9,0.8
229,1,1,0,57,16,7,2,4.0,5.9,0.36
230,1,0,1,43,2,0,1,4.0,6.9,0.49
231,1,0,1,49,19,12,1,3.0,5.9,0.35
232,0,0,1,52,17,12,0,1.0,5.9,0.45
233,0,0,1,31,8,1,4,9.0,9.3,0.86
234,1,0,1,64,17,5,1,2.0,4.6,0.33
235,1,0,1,27,20,12,2,5.0,7.3,0.45
236,1,0,1,22,1,5,3,6.0,5.7,0.5
237,1,0,1,59,6,9,2,4.0,4.5,0.34
238,0,1,1,36,20,8,0,2.0,4.7,0.23
239,0,1,0,63,16,11,4,8.0,9.9,0.92
240,1,0,1,40,4,9,3,6.0,6.3,0.44
241,1,0,1,54,11,2,1,3.0,3.6,0.15
242,1,0,1,30,13,10,0,2.0,4.3,0.32
243,1,0,1,33,9,2,3,4.0,6.5,0.43
244,0,0,0,34,5,4,4,9.0,8.7,0.78
245,0,0,1,65,18,5,0,1.0,3.1,0.23
246,0,0,1,64,11,7,2,4.0,3.6,0.21
247,0,0,1,24,16,8,1,2.0,3.6,0.23
248,1,1,1,39,12,2,3,5.0,5.7,0.4
249,1,0,1,64,11,5,2,5.0,5.7,0.38
250,1,0,0,22,12,3,0,1.0,0.5,0.45
251,1,1,0,21,9,7,2,4.0,3.9,0.33
252,0,1,1,46,20,6,3,4.0,7.3,0.63
253,1,1,0,33,19,10,2,5.0,7.0,0.62
254,1,0,0,35,3,9,2,4.0,5.9,0.39
255,0,0,1,44,17,5,3,4.0,5.4,0.36
256,1,0,1,51,11,8,2,3.0,3.7,0.28
257,1,1,0,49,19,4,3,4.0,7.4,0.56
258,1,0,1,36,7,5,2,4.0,6.1,0.41
259,0,0,1,63,20,2,0,1.0,2.8,0.1
260,1,0,0,22,20,6,2,4.0,6.9,0.63
261,0,0,1,48,18,12,3,7.0,7.3,0.67
262,0,0,0,45,1,9,3,7.0,7.2,0.62
263,0,0,1,58,13,4,2,7.0,9.0,0.77
264,1,0,0,51,19,11,0,1.0,5.9,0.45
265,0,1,1,52,14,11,2,6.0,5.6,0.51
266,1,0,1,55,1,5,2,4.0,6.8,0.61
267,1,0,1,25,12,1,1,3.0,5.1,0.41
268,1,0,1,55,12,3,3,5.0,6.0,0.53
269,1,0,1,23,8,9,1,3.0,6.8,0.5
270,0,1,1,56,16,1,2,5.0,6.5,0.55
271,0,0,1,56,13,6,4,6.0,5.7,0.49
272,0,0,1,39,1,1,2,4.0,6.9,0.57
273,0,1,1,55,6,6,3,5.0,6.1,0.44
274,0,0,1,51,13,6,3,7.0,8.8,0.7
275,1,0,1,23,19,5,1,2.0,6.8,0.48
276,0,1,0,51,1,1,0,4.0,3.8,0.23
277,0,0,0,59,19,1,4,7.0,5.9,0.79
278,0,0,0,55,10,1,2,5.0,6.8,0.6
279,0,1,1,61,8,6,2,4.0,5.5,0.48
280,1,0,1,31,11,6,2,3.0,4.5,0.21
281,1,1,0,51,12,0,2,2.0,2.6,0.15
282,0,0,0,60,11,7,5,10.0,10.0,0.98
283,1,0,1,64,15,5,1,2.0,4.3,0.25
284,0,1,0,45,7,5,3,8.0,8.8,0.7
285,1,0,0,63,8,4,4,7.0,7.2,0.69
286,0,0,1,59,13,12,1,3.0,4.4,0.33
287,1,0,0,55,12,12,2,4.0,5.5,0.44
288,1,1,0,57,15,10,2,5.0,7.8,0.57
289,0,1,1,34,6,12,1,3.0,4.5,0.27
290,0,0,0,23,16,8,4,6.0,6.7,0.67
291,1,0,0,42,12,7,1,1.0,3.4,0.25
292,1,0,0,27,4,4,0,1.0,3.6,0.18
293,1,1,0,55,3,0,3,7.0,7.9,0.6
294,1,0,1,36,14,5,2,5.0,5.3,0.39
295,1,0,1,54,14,4,1,3.0,5.3,0.34
296,1,1,0,58,2,10,3,6.0,5.5,0.52
297,1,1,0,42,8,4,1,3.0,5.4,0.42
298,0,1,1,51,1,0,1,1.0,4.8,0.28
299,1,1,1,33,14,12,2,4.0,6.2,0.38
300,0,1,0,36,10,1,4,6.0,6.9,0.59
301,1,1,1,45,12,11,2,5.0,8.0,0.62
302,0,1,0,21,16,5,3,7.0,8.7,0.76
303,1,0,0,21,5,12,1,3.0,4.2,0.33
304,0,0,0,45,5,7,2,2.0,4.2,0.28
305,1,0,0,62,20,12,3,6.0,7.2,0.62
306,1,0,1,44,3,7,2,4.0,5.2,0.45
307,0,0,1,30,8,11,2,2.0,3.3,0.24
308,0,1,0,22,3,5,0,1.0,1.6,0.45
309,0,0,0,60,5,0,2,5.0,6.3,0.53
310,0,0,1,43,8,5,2,4.0,6.8,0.59
311,1,1,1,43,13,8,0,1.0,2.0,0.45
312,0,1,1,32,2,8,3,6.0,5.9,0.65
313,0,1,1,37,8,0,3,5.0,3.8,0.29
314,1,1,1,64,4,6,1,2.0,2.7,0.19
315,1,0,0,46,10,10,4,7.0,8.1,0.65
316,1,1,1,49,6,11,1,1.0,1.3,0.02
317,1,0,1,58,10,0,2,4.0,7.0,0.47
318,0,0,0,36,7,8,4,7.0,5.9,0.82
319,1,0,0,47,11,2,2,5.0,6.6,0.43
320,1,0,0,57,12,1,2,5.0,7.9,0.61
321,1,1,0,42,2,12,0,2.0,4.7,0.33
322,1,0,0,56,20,3,2,4.0,7.9,0.6
323,1,1,0,21,4,11,2,6.0,6.4,0.52
324,0,0,1,27,1,12,5,9.0,9.3,0.93
325,0,1,0,40,4,0,2,4.0,6.3,0.47
326,0,0,0,54,16,8,2,4.0,6.4,0.53
327,0,0,0,52,4,0,3,7.0,6.9,0.51
328,1,0,1,34,10,10,1,1.0,4.9,0.26
329,1,1,1,21,18,11,3,4.0,5.2,0.42
330,1,0,0,44,5,6,2,5.0,6.2,0.58
331,1,0,1,57,5,3,1,2.0,5.3,0.3
332,0,1,1,63,2,5,3,6.0,6.2,0.56
333,0,1,0,45,16,1,2,5.0,6.1,0.57
334,1,0,1,58,7,11,2,3.0,5.5,0.3
335,0,0,0,63,16,7,4,8.0,9.5,0.86
336,0,1,0,21,12,0,2,6.0,6.3,0.62
337,0,0,1,62,18,5,3,5.0,5.2,0.41
338,0,0,1,24,12,6,1,4.0,5.1,0.38
339,1,0,1,26,9,11,2,5.0,5.9,0.41
340,1,0,0,62,17,3,2,5.0,5.8,0.46
341,1,0,0,43,12,10,2,4.0,5.9,0.44
342,1,1,0,42,9,2,1,1.0,3.2,0.24
343,1,0,1,34,19,7,2,4.0,6.1,0.39
344,1,0,1,34,20,12,3,5.0,5.7,0.45
345,1,0,0,48,9,6,2,4.0,7.5,0.53
346,1,0,0,43,18,6,2,4.0,6.0,0.53
347,1,0,0,26,2,4,2,2.0,3.9,0.21
348,0,0,0,28,7,7,4,8.0,8.4,0.77
349,1,1,1,63,3,5,1,2.0,6.0,0.37
350,0,0,0,59,6,2,3,8.0,5.9,0.93
351,1,0,1,52,13,9,4,7.0,5.9,0.67
352,0,0,1,33,2,7,1,3.0,4.9,0.38
353,0,1,1,58,17,5,3,4.0,6.3,0.47
354,0,0,0,34,15,4,4,8.0,8.0,0.69
355,0,0,0,59,5,8,2,7.0,7.1,0.72
356,0,0,0,54,6,5,4,8.0,7.3,0.73
357,1,1,0,63,8,5,4,8.0,8.2,0.72
358,1,1,0,63,6,0,2,6.0,7.1,0.58
359,1,0,1,42,18,0,2,5.0,4.5,0.38
360,1,0,1,40,3,6,1,4.0,5.0,0.36
361,0,0,0,63,15,3,2,5.0,4.2,0.32
362,0,1,1,56,13,11,1,3.0,4.8,0.35
363,1,0,1,28,14,2,4,8.0,9.4,0.83
364,0,0,1,38,19,7,4,7.0,7.9,0.73
365,0,1,1,22,11,12,0,2.0,2.1,0.15
366,0,0,1,61,7,12,2,5.0,4.2,0.3
367,0,0,0,46,11,8,1,3.0,6.6,0.47
368,1,1,0,55,2,4,4,6.0,7.1,0.68
369,0,1,0,34,2,11,5,10.0,9.7,0.87
370,1,1,1,38,10,10,1,2.0,5.5,0.4
371,1,0,0,65,5,5,1,3.0,5.2,0.43
372,0,1,0,23,17,0,4,7.0,8.4,0.64
373,0,1,0,39,15,8,2,3.0,3.4,0.26
374,0,0,0,54,19,4,2,4.0,7.2,0.59
375,0,0,0,30,1,5,2,6.0,7.0,0.52
376,1,0,0,33,2,0,2,5.0,7.3,0.56
377,0,0,0,37,8,4,3,6.0,6.5,0.56
378,1,0,1,41,15,8,0,1.0,5.9,0.25
379,0,0,0,49,18,10,1,4.0,5.8,0.53
380,0,0,0,30,18,2,2,4.0,6.2,0.4
381,1,0,0,57,17,7,2,4.0,4.2,0.31
382,0,1,0,59,18,5,3,4.0,8.9,0.83
383,0,0,0,49,13,12,1,5.0,6.6,0.54
384,1,0,1,27,1,3,2,4.0,5.5,0.36
385,0,1,0,38,6,6,2,6.0,7.5,0.55
386,0,0,1,50,2,8,1,2.0,3.8,0.22
387,0,0,1,29,7,3,4,4.0,6.9,0.69
388,1,1,1,52,10,10,3,5.0,5.0,0.4
389,0,0,1,42,9,3,3,6.0,7.9,0.64
390,0,0,1,46,18,2,3,5.0,6.5,0.48
391,1,0,1,61,11,5,1,3.0,5.2,0.39
392,1,0,1,24,1,10,3,5.0,5.6,0.4
393,1,1,1,53,13,11,2,4.0,6.2,0.49
394,0,0,1,55,16,12,2,4.0,5.9,0.16
395,1,0,0,41,11,9,2,2.0,3.9,0.29
396,0,0,1,43,6,5,2,5.0,6.1,0.41
397,0,0,1,25,15,11,2,5.0,5.5,0.37
398,0,1,0,59,8,7,3,6.0,8.6,0.68
399,1,0,1,43,10,4,2,5.0,7.1,0.58
400,1,0,0,21,2,3,2,6.0,6.9,0.55
401,0,0,0,38,4,6,2,6.0,7.7,0.45
402,1,1,1,34,13,0,2,3.0,6.9,0.5
403,0,1,0,42,4,8,2,4.0,6.3,0.57
404,0,1,1,56,15,5,2,3.0,6.3,0.44
405,0,0,1,46,3,9,2,3.0,5.7,0.37
406,1,0,0,27,17,12,2,6.0,5.9,0.61
407,1,0,0,51,4,11,1,1.0,2.5,0.45
408,0,0,0,59,3,9,3,7.0,6.3,0.62
409,0,1,0,55,5,0,2,4.0,6.7,0.57
410,1,0,1,61,4,11,1,4.0,1.9,0.03
411,0,1,1,22,2,4,2,3.0,4.6,0.45
412,0,0,1,59,6,4,3,5.0,4.9,0.37
413,0,0,1,42,14,10,1,4.0,5.4,0.35
414,0,0,0,46,19,4,4,6.0,7.0,0.55
415,1,0,1,33,7,9,2,4.0,5.9,0.18
416,1,0,1,42,20,8,2,4.0,6.5,0.61
417,0,1,1,45,11,8,2,3.0,4.0,0.2
418,1,1,1,64,15,11,0,1.0,4.0,0.2
419,1,1,0,39,2,10,3,7.0,5.9,0.64
420,1,0,0,54,9,9,2,6.0,7.2,0.45
421,1,0,0,23,20,6,1,2.0,5.9,0.43
422,1,0,1,25,4,2,1,3.0,3.7,0.17
423,1,0,1,64,3,8,2,2.0,5.9,0.45
424,0,0,0,38,8,6,2,4.0,5.2,0.47
425,0,0,0,27,9,7,0,1.0,2.8,0.12
426,1,0,0,34,1,0,5,10.0,5.9,1.0
427,1,1,0,50,5,10,3,6.0,8.2,0.65
428,1,0,1,61,10,1,3,4.0,5.5,0.42
429,1,0,0,56,4,8,1,1.0,3.6,0.28
430,0,1,1,50,13,4,2,5.0,6.9,0.67
431,1,1,0,48,19,12,5,9.0,9.4,0.88
432,0,0,1,54,14,4,1,3.0,3.6,0.29
433,0,0,0,64,2,10,2,5.0,6.8,0.6
434,0,0,1,33,10,6,0,1.0,3.8,0.17
435,1,1,1,29,3,7,1,2.0,1.6,0.08
436,0,0,0,64,18,2,2,4.0,5.4,0.48
437,1,0,0,35,10,1,2,4.0,7.3,0.51
438,1,0,1,54,15,6,0,2.0,4.0,0.3
439,1,0,0,61,5,0,2,4.0,7.0,0.54
440,1,0,0,36,18,7,4,8.0,7.8,0.74
441,1,1,0,36,13,2,1,2.0,2.5,0.45
442,0,0,1,58,10,2,1,3.0,3.4,0.29
443,0,1,0,35,18,10,3,6.0,7.4,0.52
444,1,1,0,38,6,9,3,6.0,6.6,0.46
445,1,0,0,40,9,2,1,3.0,4.7,0.37
446,0,0,1,24,17,1,1,4.0,4.7,0.36
447,0,1,0,59,12,7,2,5.0,4.9,0.39
448,0,0,0,56,12,9,2,6.0,8.7,0.7
449,1,1,0,61,5,1,2,4.0,5.6,0.38
450,0,0,1,58,20,5,5,9.0,9.4,0.88
451,0,0,1,49,8,5,1,2.0,3.6,0.22
452,1,0,0,25,10,6,3,6.0,7.2,0.63
453,0,0,0,34,3,3,4,8.0,5.9,0.68
454,0,1,0,35,13,4,2,5.0,7.2,0.66
455,1,0,1,38,19,1,2,5.0,6.5,0.49
456,0,1,0,60,17,9,3,7.0,5.9,0.77
457,0,0,0,51,13,0,1,2.0,5.2,0.44
458,1,0,0,38,4,4,2,4.0,5.9,0.6
459,0,0,1,35,19,12,0,1.0,5.9,0.2
460,1,0,1,35,14,0,2,4.0,5.5,0.45
461,1,1,1,27,6,4,0,1.0,4.1,0.2
462,0,0,0,41,9,9,5,10.0,9.2,0.75
463,1,1,1,60,19,12,1,1.0,2.6,0.09
464,1,0,0,58,4,2,1,2.0,5.5,0.39
465,0,0,1,53,1,8,2,4.0,2.5,0.14
466,1,0,1,52,13,1,3,7.0,5.8,0.55
467,1,0,1,35,2,2,1,1.0,3.2,0.2
468,0,1,0,41,11,4,3,7.0,8.3,0.66
469,0,0,0,23,4,0,1,3.0,4.6,0.38
470,1,1,0,31,6,8,0,4.0,4.1,0.26
471,1,0,0,32,11,11,2,4.0,6.8,0.46
472,0,0,1,34,7,1,1,3.0,4.9,0.43
473,0,0,0,23,7,12,3,6.0,6.4,0.51
474,0,0,0,61,13,1,0,1.0,5.9,0.16
475,1,0,0,37,14,12,2,4.0,6.9,0.5
476,1,0,0,37,12,6,2,5.0,6.0,0.55
477,1,0,1,55,15,10,3,5.0,6.5,0.5
478,1,1,1,22,19,12,1,2.0,5.7,0.48
479,1,0,1,56,20,10,3,6.0,5.7,0.45
480,0,0,0,23,17,3,2,5.0,7.6,0.6
481,0,0,0,57,18,1,3,5.0,6.0,0.53
482,1,1,1,61,1,0,1,3.0,5.6,0.34
483,1,1,1,28,1,5,3,5.0,5.7,0.39
484,1,0,0,21,8,10,3,4.0,6.3,0.43
485,0,0,1,44,12,8,3,7.0,6.7,0.63
486,0,0,1,33,19,2,3,6.0,4.7,0.43
487,1,1,1,42,3,2,2,4.0,3.9,0.32
488,0,0,1,31,19,8,1,4.0,3.8,0.33
489,1,1,1,56,4,0,0,1.0,3.9,0.21
490,0,0,0,57,6,2,4,8.0,6.7,0.65
491,1,1,1,38,13,7,2,2.0,3.5,0.27
492,1,0,0,33,15,6,3,8.0,7.9,0.76
493,1,0,1,45,1,10,1,1.0,2.0,0.04
494,1,1,0,41,12,4,0,1.0,1.7,0.13
