,Gender,Company Type,WFH Setup Available,Age,Tenure,Vacations taken,Designation,Average Hours worked per day,Employee satisfaction score,Mental Fatigue Score,Total_Days
203,1,0,1,22,12,3,3,4.0,5.9,0.48,5055
204,1,0,1,33,17,9,3,5.0,4.7,0.39,5370
205,1,0,1,55,16,6,3,5.0,5.2,0.42,5351
206,0,1,1,58,2,8,0,1.0,5.9,0.45,5135
207,1,0,1,53,6,10,2,5.0,5.1,0.46,5120
208,0,1,1,39,18,0,1,2.0,4.4,0.3,5186
209,1,1,0,50,1,7,4,6.0,6.9,0.63,5112
210,1,0,0,44,15,12,2,5.0,5.3,0.45,5218
211,0,0,0,50,16,2,2,3.0,5.9,0.49,5303
212,1,0,1,25,13,4,3,6.0,6.0,0.58,5170
213,0,1,0,63,2,0,4,7.0,8.6,0.67,5409
214,0,0,0,42,15,11,2,5.0,7.3,0.71,5335
215,1,0,1,52,6,3,1,3.0,5.5,0.48,5310
216,0,0,1,33,7,0,1,3.0,2.9,0.22,5273
217,1,1,0,56,18,12,3,6.0,5.1,0.43,5252
218,0,0,1,48,13,3,4,8.0,5.9,0.74,5138
219,0,0,0,32,16,12,2,5.0,6.4,0.57,5368
220,1,0,1,30,14,3,2,3.0,5.9,0.22,5379
221,0,0,1,29,8,5,1,4.0,4.8,0.45,5191
222,1,0,0,58,17,2,3,4.0,5.8,0.47,5091
223,1,0,1,40,15,1,3,4.0,6.1,0.47,5112
224,1,0,1,26,6,8,3,5.0,5.3,0.47,5252
225,1,1,1,47,2,11,1,4.0,5.5,0.34,5128
226,1,0,1,49,11,5,1,3.0,5.5,0.37,5131
227,1,0,0,50,14,7,3,7.0,7.8,0.8,5145
228,0,1,0,41,12,5,4,8.0,8.9,0.8,5262
229,1,1,0,57,16,7,2,4.0,5.9,0.36,5222
230,1,0,1,43,2,0,1,4.0,6.9,0.49,5210
231,1,0,1,49,19,12,1,3.0,5.9,0.35,5223
232,0,0,1,52,17,12,0,1.0,5.9,0.45,5193
233,0,0,1,31,8,1,4,9.0,9.3,0.86,5136
234,1,0,1,64,17,5,1,2.0,4.6,0.33,5341
235,1,0,1,27,20,12,2,5.0,7.3,0.45,5198
236,1,0,1,22,1,5,3,6.0,5.7,0.5,5249
237,1,0,1,59,6,9,2,4.0,4.5,0.34,5118
238,0,1,1,36,20,8,0,2.0,4.7,0.23,5362
239,0,1,0,63,16,11,4,8.0,9.9,0.92,5380
240,1,0,1,40,4,9,3,6.0,6.3,0.44,5275
241,1,0,1,54,11,2,1,3.0,3.6,0.15,5151
242,1,0,1,30,13,10,0,2.0,4.3,0.32,5347
243,1,0,1,33,9,2,3,4.0,6.5,0.43,5201
244,0,0,0,34,5,4,4,9.0,8.7,0.78,5397
245,0,0,1,65,18,5,0,1.0,3.1,0.23,5351
246,0,0,1,64,11,7,2,4.0,3.6,0.21,5220
247,0,0,1,24,16,8,1,2.0,3.6,0.23,5187
248,1,1,1,39,12,2,3,5.0,5.7,0.4,5106
249,1,0,1,64,11,5,2,5.0,5.7,0.38,5086
250,1,0,0,22,12,3,0,1.0,0.5,0.45,5308
251,1,1,0,21,9,7,2,4.0,3.9,0.33,5075
252,0,1,1,46,20,6,3,4.0,7.3,0.63,5206
253,1,1,0,33,19,10,2,5.0,7.0,0.62,5073
254,1,0,0,35,3,9,2,4.0,5.9,0.39,5128
255,0,0,1,44,17,5,3,4.0,5.4,0.36,5248
256,1,0,1,51,11,8,2,3.0,3.7,0.28,5259
257,1,1,0,49,19,4,3,4.0,7.4,0.56,5063
258,1,0,1,36,7,5,2,4.0,6.1,0.41,5162
259,0,0,1,63,20,2,0,1.0,2.8,0.1,5379
260,1,0,0,22,20,6,2,4.0,6.9,0.63,5109
261,0,0,1,48,18,12,3,7.0,7.3,0.67,5387
262,0,0,0,45,1,9,3,7.0,7.2,0.62,5310
263,0,0,1,58,13,4,2,7.0,9.0,0.77,5320
264,1,0,0,51,19,11,0,1.0,5.9,0.45,5227
265,0,1,1,52,14,11,2,6.0,5.6,0.51,5061
266,1,0,1,55,1,5,2,4.0,6.8,0.61,5052
267,1,0,1,25,12,1,1,3.0,5.1,0.41,5373
268,1,0,1,55,12,3,3,5.0,6.0,0.53,5225
269,1,0,1,23,8,9,1,3.0,6.8,0.5,5064
270,0,1,1,56,16,1,2,5.0,6.5,0.55,5093
271,0,0,1,56,13,6,4,6.0,5.7,0.49,5220
272,0,0,1,39,1,1,2,4.0,6.9,0.57,5394
273,0,1,1,55,6,6,3,5.0,6.1,0.44,5122
274,0,0,1,51,13,6,3,7.0,8.8,0.7,5408
275,1,0,1,23,19,5,1,2.0,6.8,0.48,5120
276,0,1,0,51,1,1,0,4.0,3.8,0.23,5056
277,0,0,0,59,19,1,4,7.0,5.9,0.79,5254
278,0,0,0,55,10,1,2,5.0,6.8,0.6,5396
279,0,1,1,61,8,6,2,4.0,5.5,0.48,5158
280,1,0,1,31,11,6,2,3.0,4.5,0.21,5113
281,1,1,0,51,12,0,2,2.0,2.6,0.15,5211
282,0,0,0,60,11,7,5,10.0,10.0,0.98,5127
283,1,0,1,64,15,5,1,2.0,4.3,0.25,5102
284,0,1,0,45,7,5,3,8.0,8.8,0.7,5368
285,1,0,0,63,8,4,4,7.0,7.2,0.69,5222
286,0,0,1,59,13,12,1,3.0,4.4,0.33,5169
287,1,0,0,55,12,12,2,4.0,5.5,0.44,5076
288,1,1,0,57,15,10,2,5.0,7.8,0.57,5054
289,0,1,1,34,6,12,1,3.0,4.5,0.27,5286
290,0,0,0,23,16,8,4,6.0,6.7,0.67,5190
291,1,0,0,42,12,7,1,1.0,3.4,0.25,5389
292,1,0,0,27,4,4,0,1.0,3.6,0.18,5178
293,1,1,0,55,3,0,3,7.0,7.9,0.6,5381
294,1,0,1,36,14,5,2,5.0,5.3,0.39,5141
295,1,0,1,54,14,4,1,3.0,5.3,0.34,5150
296,1,1,0,58,2,10,3,6.0,5.5,0.52,5100
297,1,1,0,42,8,4,1,3.0,5.4,0.42,5296
298,0,1,1,51,1,0,1,1.0,4.8,0.28,5055
299,1,1,1,33,14,12,2,4.0,6.2,0.38,5406
300,0,1,0,36,10,1,4,6.0,6.9,0.59,5276
301,1,1,1,45,12,11,2,5.0,8.0,0.62,5392
302,0,1,0,21,16,5,3,7.0,8.7,0.76,5157
303,1,0,0,21,5,12,1,3.0,4.2,0.33,5193
304,0,0,0,45,5,7,2,2.0,4.2,0.28,5072
305,1,0,0,62,20,12,3,6.0,7.2,0.62,5390
306,1,0,1,44,3,7,2,4.0,5.2,0.45,5133
307,0,0,1,30,8,11,2,2.0,3.3,0.24,5157
308,0,1,0,22,3,5,0,1.0,1.6,0.45,5194
309,0,0,0,60,5,0,2,5.0,6.3,0.53,5144
310,0,0,1,43,8,5,2,4.0,6.8,0.59,5291
311,1,1,1,43,13,8,0,1.0,2.0,0.45,5209
312,0,1,1,32,2,8,3,6.0,5.9,0.65,5273
313,0,1,1,37,8,0,3,5.0,3.8,0.29,5380
314,1,1,1,64,4,6,1,2.0,2.7,0.19,5282
315,1,0,0,46,10,10,4,7.0,8.1,0.65,5363
316,1,1,1,49,6,11,1,1.0,1.3,0.02,5071
317,1,0,1,58,10,0,2,4.0,7.0,0.47,5125
318,0,0,0,36,7,8,4,7.0,5.9,0.82,5278
319,1,0,0,47,11,2,2,5.0,6.6,0.43,5115
320,1,0,0,57,12,1,2,5.0,7.9,0.61,5149
321,1,1,0,42,2,12,0,2.0,4.7,0.33,5196
322,1,0,0,56,20,3,2,4.0,7.9,0.6,5291
323,1,1,0,21,4,11,2,6.0,6.4,0.52,5352
324,0,0,1,27,1,12,5,9.0,9.3,0.93,5294
325,0,1,0,40,4,0,2,4.0,6.3,0.47,5060
326,0,0,0,54,16,8,2,4.0,6.4,0.53,5170
327,0,0,0,52,4,0,3,7.0,6.9,0.51,5353
328,1,0,1,34,10,10,1,1.0,4.9,0.26,5376
329,1,1,1,21,18,11,3,4.0,5.2,0.42,5311
330,1,0,0,44,5,6,2,5.0,6.2,0.58,5090
331,1,0,1,57,5,3,1,2.0,5.3,0.3,5091
332,0,1,1,63,2,5,3,6.0,6.2,0.56,5190
333,0,1,0,45,16,1,2,5.0,6.1,0.57,5312
334,1,0,1,58,7,11,2,3.0,5.5,0.3,5092
335,0,0,0,63,16,7,4,8.0,9.5,0.86,5303
336,0,1,0,21,12,0,2,6.0,6.3,0.62,5191
337,0,0,1,62,18,5,3,5.0,5.2,0.41,5359
338,0,0,1,24,12,6,1,4.0,5.1,0.38,5241
339,1,0,1,26,9,11,2,5.0,5.9,0.41,5369
340,1,0,0,62,17,3,2,5.0,5.8,0.46,5211
341,1,0,0,43,12,10,2,4.0,5.9,0.44,5271
342,1,1,0,42,9,2,1,1.0,3.2,0.24,5187
343,1,0,1,34,19,7,2,4.0,6.1,0.39,5360
344,1,0,1,34,20,12,3,5.0,5.7,0.45,5387
345,1,0,0,48,9,6,2,4.0,7.5,0.53,5370
346,1,0,0,43,18,6,2,4.0,6.0,0.53,5092
347,1,0,0,26,2,4,2,2.0,3.9,0.21,5360
348,0,0,0,28,7,7,4,8.0,8.4,0.77,5128
349,1,1,1,63,3,5,1,2.0,6.0,0.37,5058
350,0,0,0,59,6,2,3,8.0,5.9,0.93,5138
351,1,0,1,52,13,9,4,7.0,5.9,0.67,5163
352,0,0,1,33,2,7,1,3.0,4.9,0.38,5341
353,0,1,1,58,17,5,3,4.0,6.3,0.47,5256
354,0,0,0,34,15,4,4,8.0,8.0,0.69,5171
355,0,0,0,59,5,8,2,7.0,7.1,0.72,5094
356,0,0,0,54,6,5,4,8.0,7.3,0.73,5237
357,1,1,0,63,8,5,4,8.0,8.2,0.72,5283
358,1,1,0,63,6,0,2,6.0,7.1,0.58,5168
359,1,0,1,42,18,0,2,5.0,4.5,0.38,5349
360,1,0,1,40,3,6,1,4.0,5.0,0.36,5332
361,0,0,0,63,15,3,2,5.0,4.2,0.32,5107
362,0,1,1,56,13,11,1,3.0,4.8,0.35,5357
363,1,0,1,28,14,2,4,8.0,9.4,0.83,5147
364,0,0,1,38,19,7,4,7.0,7.9,0.73,5141
365,0,1,1,22,11,12,0,2.0,2.1,0.15,5361
366,0,0,1,61,7,12,2,5.0,4.2,0.3,5115
367,0,0,0,46,11,8,1,3.0,6.6,0.47,5323
368,1,1,0,55,2,4,4,6.0,7.1,0.68,5246
369,0,1,0,34,2,11,5,10.0,9.7,0.87,5192
370,1,1,1,38,10,10,1,2.0,5.5,0.4,5269
371,1,0,0,65,5,5,1,3.0,5.2,0.43,5272
372,0,1,0,23,17,0,4,7.0,8.4,0.64,5402
373,0,1,0,39,15,8,2,3.0,3.4,0.26,5196
374,0,0,0,54,19,4,2,4.0,7.2,0.59,5365
375,0,0,0,30,1,5,2,6.0,7.0,0.52,5158
376,1,0,0,33,2,0,2,5.0,7.3,0.56,5145
377,0,0,0,37,8,4,3,6.0,6.5,0.56,5257
378,1,0,1,41,15,8,0,1.0,5.9,0.25,5092
379,0,0,0,49,18,10,1,4.0,5.8,0.53,5064
380,0,0,0,30,18,2,2,4.0,6.2,0.4,5399
381,1,0,0,57,17,7,2,4.0,4.2,0.31,5313
382,0,1,0,59,18,5,3,4.0,8.9,0.83,5333
383,0,0,0,49,13,12,1,5.0,6.6,0.54,5360
384,1,0,1,27,1,3,2,4.0,5.5,0.36,5304
385,0,1,0,38,6,6,2,6.0,7.5,0.55,5382
386,0,0,1,50,2,8,1,2.0,3.8,0.22,5227
387,0,0,1,29,7,3,4,4.0,6.9,0.69,5140
388,1,1,1,52,10,10,3,5.0,5.0,0.4,5395
389,0,0,1,42,9,3,3,6.0,7.9,0.64,5169
390,0,0,1,46,18,2,3,5.0,6.5,0.48,5086
391,1,0,1,61,11,5,1,3.0,5.2,0.39,5134
392,1,0,1,24,1,10,3,5.0,5.6,0.4,5228
393,1,1,1,53,13,11,2,4.0,6.2,0.49,5320
394,0,0,1,55,16,12,2,4.0,5.9,0.16,5223
395,1,0,0,41,11,9,2,2.0,3.9,0.29,5249
396,0,0,1,43,6,5,2,5.0,6.1,0.41,5260
397,0,0,1,25,15,11,2,5.0,5.5,0.37,5098
398,0,1,0,59,8,7,3,6.0,8.6,0.68,5176
399,1,0,1,43,10,4,2,5.0,7.1,0.58,5295
400,1,0,0,21,2,3,2,6.0,6.9,0.55,5277
401,0,0,0,38,4,6,2,6.0,7.7,0.45,5118
402,1,1,1,34,13,0,2,3.0,6.9,0.5,5196
403,0,1,0,42,4,8,2,4.0,6.3,0.57,5291
404,0,1,1,56,15,5,2,3.0,6.3,0.44,5050
405,0,0,1,46,3,9,2,3.0,5.7,0.37,5244
406,1,0,0,27,17,12,2,6.0,5.9,0.61,5353
407,1,0,0,51,4,11,1,1.0,2.5,0.45,5088
408,0,0,0,59,3,9,3,7.0,6.3,0.62,5385
409,0,1,0,55,5,0,2,4.0,6.7,0.57,5281
410,1,0,1,61,4,11,1,4.0,1.9,0.03,5365
411,0,1,1,22,2,4,2,3.0,4.6,0.45,5406
412,0,0,1,59,6,4,3,5.0,4.9,0.37,5137
413,0,0,1,42,14,10,1,4.0,5.4,0.35,5373
414,0,0,0,46,19,4,4,6.0,7.0,0.55,5058
415,1,0,1,33,7,9,2,4.0,5.9,0.18,5325
416,1,0,1,42,20,8,2,4.0,6.5,0.61,5247
417,0,1,1,45,11,8,2,3.0,4.0,0.2,5343
418,1,1,1,64,15,11,0,1.0,4.0,0.2,5297
419,1,1,0,39,2,10,3,7.0,5.9,0.64,5160
420,1,0,0,54,9,9,2,6.0,7.2,0.45,5136
421,1,0,0,23,20,6,1,2.0,5.9,0.43,5341
422,1,0,1,25,4,2,1,3.0,3.7,0.17,5150
423,1,0,1,64,3,8,2,2.0,5.9,0.45,5232
424,0,0,0,38,8,6,2,4.0,5.2,0.47,5065
425,0,0,0,27,9,7,0,1.0,2.8,0.12,5161
426,1,0,0,34,1,0,5,10.0,5.9,1.0,5165
427,1,1,0,50,5,10,3,6.0,8.2,0.65,5305
428,1,0,1,61,10,1,3,4.0,5.5,0.42,5130
429,1,0,0,56,4,8,1,1.0,3.6,0.28,5218
430,0,1,1,50,13,4,2,5.0,6.9,0.67,5225
431,1,1,0,48,19,12,5,9.0,9.4,0.88,5243
432,0,0,1,54,14,4,1,3.0,3.6,0.29,5403
433,0,0,0,64,2,10,2,5.0,6.8,0.6,5086
434,0,0,1,33,10,6,0,1.0,3.8,0.17,5272
435,1,1,1,29,3,7,1,2.0,1.6,0.08,5370
436,0,0,0,64,18,2,2,4.0,5.4,0.48,5078
437,1,0,0,35,10,1,2,4.0,7.3,0.51,5056
438,1,0,1,54,15,6,0,2.0,4.0,0.3,5345
439,1,0,0,61,5,0,2,4.0,7.0,0.54,5376
440,1,0,0,36,18,7,4,8.0,7.8,0.74,5391
441,1,1,0,36,13,2,1,2.0,2.5,0.45,5231
442,0,0,1,58,10,2,1,3.0,3.4,0.29,5173
443,0,1,0,35,18,10,3,6.0,7.4,0.52,5204
444,1,1,0,38,6,9,3,6.0,6.6,0.46,5234
445,1,0,0,40,9,2,1,3.0,4.7,0.37,5334
