Gender,Company Type,WFH Setup Available,Age,Tenure,Vacations taken,Designation,Average Hours worked per day,Employee satisfaction score,Mental Fatigue Score
1,1,1,63,10,12,3,5.0,6.1,0.39
1,1,1,27,5,7,2,4.0,3.1,0.15
0,0,0,64,5,5,2,5.0,8.0,0.61
1,1,0,52,18,11,1,2.0,4.0,0.26
1,0,0,39,2,2,2,2.0,3.6,0.28
0,1,1,37,11,5,2,5.0,8.7,0.71
0,1,0,51,4,9,3,4.0,8.0,0.68
1,0,0,26,18,9,3,5.0,6.8,0.57
1,0,1,41,16,7,2,3.0,4.9,0.39
1,1,0,61,1,11,3,6.0,7.9,0.61
0,1,0,52,18,6,3,6.0,7.6,0.62
1,0,0,50,7,9,5,9.0,9.2,0.8
0,0,1,33,16,6,4,6.0,6.5,0.63
1,0,0,39,13,4,3,5.0,6.8,0.6
1,1,0,33,10,2,4,8.0,8.7,0.79
0,0,1,34,5,4,2,5.0,6.2,0.39
1,0,0,49,7,6,3,5.0,5.8,0.36
1,1,0,50,6,4,2,4.0,6.6,0.5
0,1,0,52,10,3,4,7.0,8.2,0.72
1,0,1,55,17,10,2,3.0,4.9,0.34
1,0,0,33,8,4,1,2.0,4.1,0.27
0,0,0,51,6,11,3,7.0,7.4,0.66
1,1,1,33,16,10,0,1.0,5.9,0.04
0,0,1,21,19,12,1,2.0,4.4,0.27
1,0,0,47,1,0,2,6.0,6.9,0.67
1,1,1,57,7,9,1,2.0,5.3,0.38
1,0,1,45,2,7,2,2.0,4.3,0.28
0,1,1,62,15,8,0,1.0,0.8,0.05
1,0,1,49,10,3,2,4.0,2.9,0.22
1,0,1,59,19,11,1,3.0,5.0,0.39
0,0,1,26,3,8,1,4.0,6.9,0.52
1,0,0,26,14,9,3,5.0,4.7,0.39
1,0,0,62,12,5,1,3.0,2.0,0.11
1,0,0,64,18,1,2,4.0,5.4,0.44
0,1,0,39,17,6,2,5.0,6.1,0.5
1,1,1,46,17,5,1,4.0,5.1,0.41
1,0,1,59,5,5,1,2.0,3.8,0.45
0,1,0,35,13,1,4,9.0,5.9,0.76
1,0,1,32,16,0,3,5.0,4.7,0.43
0,0,1,40,11,7,3,5.0,5.4,0.46
1,0,0,30,3,2,4,7.0,9.1,0.85
0,0,1,34,16,0,1,3.0,5.0,0.35
0,1,0,61,4,3,1,1.0,5.9,0.45
0,1,1,46,17,3,2,4.0,4.3,0.34
1,0,1,28,8,12,2,4.0,6.7,0.44
1,1,0,33,19,4,2,5.0,5.7,0.55
0,0,1,21,3,2,4,6.0,6.8,0.62
0,0,0,28,7,10,3,6.0,7.6,0.72
0,1,1,35,17,12,3,8.0,8.3,0.71
1,1,0,65,10,5,1,3.0,5.5,0.39
1,0,0,36,19,12,1,3.0,5.3,0.48
1,0,0,29,3,4,3,7.0,8.0,0.7
0,0,1,58,7,12,4,6.0,6.4,0.56
1,0,1,24,15,6,1,3.0,3.6,0.27
1,1,1,56,6,3,2,5.0,7.0,0.66
1,1,0,58,12,10,3,7.0,7.6,0.56
0,0,0,30,11,11,2,5.0,8.7,0.79
1,1,1,25,17,12,0,1.0,2.6,0.18
1,0,1,51,19,11,2,4.0,4.7,0.33
0,0,1,24,13,6,2,4.0,6.4,0.4
1,0,0,21,18,5,2,5.0,5.8,0.39
1,0,0,40,20,6,1,1.0,3.3,0.23
1,1,1,22,20,0,2,4.0,5.9,0.45
1,1,0,59,14,0,2,4.0,7.8,0.67
0,1,1,24,20,0,1,3.0,7.0,0.52
1,0,0,33,18,1,4,7.0,7.2,0.6
0,0,1,34,19,2,3,7.0,7.9,0.59
1,1,0,49,11,12,3,5.0,5.9,0.45
1,0,1,35,17,1,1,3.0,5.9,0.36
0,0,0,62,5,3,1,3.0,4.4,0.29
0,0,1,63,3,2,2,5.0,5.2,0.34
1,1,1,35,11,10,2,4.0,5.3,0.34
0,0,0,51,12,8,3,5.0,5.9,0.45
1,0,0,49,9,8,4,6.0,5.9,0.67
1,1,1,62,16,6,4,4.0,8.9,0.76
1,1,1,29,20,12,3,4.0,5.2,0.46
0,0,1,55,12,6,2,5.0,4.5,0.36
1,1,0,41,17,4,2,3.0,6.6,0.45
1,1,1,29,13,10,3,5.0,3.8,0.27
0,1,0,55,8,10,3,7.0,7.6,0.65
1,0,1,43,10,2,1,4.0,5.9,0.45
1,1,1,42,16,12,3,6.0,5.6,0.34
1,0,1,22,13,8,1,3.0,5.4,0.37
0,1,1,55,19,7,1,2.0,4.9,0.25
0,0,0,55,18,6,2,5.0,7.3,0.57
0,0,0,39,2,8,2,5.0,5.6,0.52
1,1,1,53,3,8,3,4.0,5.7,0.45
1,1,0,29,10,3,4,8.0,7.8,0.75
1,1,1,60,20,8,4,7.0,6.7,0.55
1,0,0,44,20,3,1,4.0,6.5,0.43
1,0,1,21,4,6,0,1.0,1.8,0.1
1,1,0,65,8,9,3,6.0,8.1,0.68
0,1,0,48,18,0,2,5.0,6.9,0.45
0,0,1,63,18,1,3,7.0,6.4,0.56
0,0,1,23,9,4,3,8.0,7.2,0.73
1,0,0,44,19,3,2,5.0,8.6,0.7
0,0,0,58,9,5,2,5.0,5.9,0.58
0,1,0,34,2,7,4,8.0,9.5,0.88
0,1,1,61,6,4,2,6.0,6.8,0.63
1,0,0,33,9,4,2,5.0,6.5,0.62
1,0,1,37,4,5,2,3.0,3.5,0.25
0,0,0,43,11,8,2,3.0,4.8,0.4
0,1,0,29,16,4,3,8.0,7.6,0.77
0,1,1,43,11,3,3,6.0,6.2,0.58
1,1,1,22,6,7,3,6.0,3.6,0.3
0,1,0,55,10,2,3,6.0,8.0,0.61
1,0,1,31,18,7,3,5.0,6.0,0.4
1,0,1,31,5,11,1,3.0,3.8,0.33
1,1,1,32,20,5,1,2.0,2.4,0.06
0,0,1,38,20,3,1,4.0,4.3,0.36
1,0,1,34,14,3,1,2.0,3.7,0.28
0,0,1,65,17,0,2,6.0,5.9,0.45
0,1,1,51,7,12,2,5.0,5.6,0.37
1,0,1,62,18,8,0,1.0,1.0,0.03
1,1,1,47,12,4,2,5.0,7.2,0.67
0,0,1,63,7,0,1,3.0,6.7,0.46
1,0,1,32,3,4,1,2.0,5.9,0.45
1,0,1,48,18,3,3,8.0,7.5,0.72
1,0,0,32,4,2,3,6.0,5.9,0.69
1,0,0,63,7,8,4,7.0,7.5,0.65
1,1,0,48,16,5,0,1.0,4.0,0.24
1,0,1,62,2,9,1,3.0,5.3,0.41
1,1,0,26,16,12,2,5.0,7.5,0.68
1,0,1,56,13,9,1,2.0,5.9,0.42
0,1,0,32,13,1,4,7.0,7.7,0.72
0,0,1,58,7,8,0,2.0,4.4,0.33
1,0,1,40,19,0,2,3.0,5.9,0.37
0,0,1,53,10,3,4,6.0,5.9,0.6
0,0,1,36,10,6,3,5.0,6.5,0.48
0,1,1,50,20,5,2,4.0,5.5,0.48
0,0,0,33,14,8,2,5.0,5.0,0.36
1,0,1,34,15,4,1,1.0,5.9,0.24
0,1,0,65,5,3,4,10.0,9.2,0.91
0,1,1,51,17,6,2,5.0,5.0,0.45
1,1,1,55,14,4,1,2.0,4.1,0.24
1,0,0,44,2,10,3,6.0,5.5,0.45
0,0,0,62,20,11,5,9.0,8.8,0.85
1,0,0,33,7,7,2,4.0,5.5,0.34
0,1,1,64,18,7,1,3.0,5.9,0.36
1,0,1,24,18,1,2,4.0,4.5,0.34
0,1,0,35,10,2,3,6.0,8.0,0.59
1,0,1,31,5,11,2,4.0,5.8,0.44
0,0,0,58,16,5,1,3.0,4.4,0.38
1,1,1,65,4,2,2,4.0,6.1,0.45
0,1,0,31,14,0,3,6.0,7.5,0.59
1,0,0,27,4,10,2,7.0,8.0,0.7
0,1,0,32,1,6,2,3.0,6.1,0.42
0,1,1,40,17,2,1,2.0,5.1,0.46
1,0,1,22,12,3,3,4.0,5.9,0.48
1,0,1,33,17,9,3,5.0,4.7,0.39
1,0,1,55,16,6,3,5.0,5.2,0.42
0,1,1,58,2,8,0,1.0,5.9,0.45
1,0,1,53,6,10,2,5.0,5.1,0.46
0,1,1,39,18,0,1,2.0,4.4,0.3
1,1,0,50,1,7,4,6.0,6.9,0.63
1,0,0,44,15,12,2,5.0,5.3,0.45
0,0,0,50,16,2,2,3.0,5.9,0.49
1,0,1,25,13,4,3,6.0,6.0,0.58
0,1,0,63,2,0,4,7.0,8.6,0.67
0,0,0,42,15,11,2,5.0,7.3,0.71
1,0,1,52,6,3,1,3.0,5.5,0.48
0,0,1,33,7,0,1,3.0,2.9,0.22
1,1,0,56,18,12,3,6.0,5.1,0.43
0,0,1,48,13,3,4,8.0,5.9,0.74
0,0,0,32,16,12,2,5.0,6.4,0.57
1,0,1,30,14,3,2,3.0,5.9,0.22
0,0,1,29,8,5,1,4.0,4.8,0.45
1,0,0,58,17,2,3,4.0,5.8,0.47
1,0,1,40,15,1,3,4.0,6.1,0.47
1,0,1,26,6,8,3,5.0,5.3,0.47
1,1,1,47,2,11,1,4.0,5.5,0.34
1,0,1,49,11,5,1,3.0,5.5,0.37
1,0,0,50,14,7,3,7.0,7.8,0.8
0,1,0,41,12,5,4,8.0,8.9,0.8
1,1,0,57,16,7,2,4.0,5.9,0.36
1,0,1,43,2,0,1,4.0,6.9,0.49
1,0,1,49,19,12,1,3.0,5.9,0.35
0,0,1,52,17,12,0,1.0,5.9,0.45
0,0,1,31,8,1,4,9.0,9.3,0.86
1,0,1,64,17,5,1,2.0,4.6,0.33
1,0,1,27,20,12,2,5.0,7.3,0.45
1,0,1,22,1,5,3,6.0,5.7,0.5
1,0,1,59,6,9,2,4.0,4.5,0.34
0,1,1,36,20,8,0,2.0,4.7,0.23
0,1,0,63,16,11,4,8.0,9.9,0.92
1,0,1,40,4,9,3,6.0,6.3,0.44
1,0,1,54,11,2,1,3.0,3.6,0.15
1,0,1,30,13,10,0,2.0,4.3,0.32
1,0,1,33,9,2,3,4.0,6.5,0.43
0,0,0,34,5,4,4,9.0,8.7,0.78
0,0,1,65,18,5,0,1.0,3.1,0.23
0,0,1,64,11,7,2,4.0,3.6,0.21
0,0,1,24,16,8,1,2.0,3.6,0.23
1,1,1,39,12,2,3,5.0,5.7,0.4
1,0,1,64,11,5,2,5.0,5.7,0.38
1,0,0,22,12,3,0,1.0,0.5,0.45
1,1,0,21,9,7,2,4.0,3.9,0.33
0,1,1,46,20,6,3,4.0,7.3,0.63
1,1,0,33,19,10,2,5.0,7.0,0.62
1,0,0,35,3,9,2,4.0,5.9,0.39
0,0,1,44,17,5,3,4.0,5.4,0.36
1,0,1,51,11,8,2,3.0,3.7,0.28
1,1,0,49,19,4,3,4.0,7.4,0.56
1,0,1,36,7,5,2,4.0,6.1,0.41
0,0,1,63,20,2,0,1.0,2.8,0.1
1,0,0,22,20,6,2,4.0,6.9,0.63
0,0,1,48,18,12,3,7.0,7.3,0.67
0,0,0,45,1,9,3,7.0,7.2,0.62
0,0,1,58,13,4,2,7.0,9.0,0.77
1,0,0,51,19,11,0,1.0,5.9,0.45
0,1,1,52,14,11,2,6.0,5.6,0.51
1,0,1,55,1,5,2,4.0,6.8,0.61
1,0,1,25,12,1,1,3.0,5.1,0.41
1,0,1,55,12,3,3,5.0,6.0,0.53
1,0,1,23,8,9,1,3.0,6.8,0.5
0,1,1,56,16,1,2,5.0,6.5,0.55
0,0,1,56,13,6,4,6.0,5.7,0.49
0,0,1,39,1,1,2,4.0,6.9,0.57
0,1,1,55,6,6,3,5.0,6.1,0.44
0,0,1,51,13,6,3,7.0,8.8,0.7
1,0,1,23,19,5,1,2.0,6.8,0.48
0,1,0,51,1,1,0,4.0,3.8,0.23
0,0,0,59,19,1,4,7.0,5.9,0.79
0,0,0,55,10,1,2,5.0,6.8,0.6
0,1,1,61,8,6,2,4.0,5.5,0.48
1,0,1,31,11,6,2,3.0,4.5,0.21
1,1,0,51,12,0,2,2.0,2.6,0.15
0,0,0,60,11,7,5,10.0,10.0,0.98
1,0,1,64,15,5,1,2.0,4.3,0.25
0,1,0,45,7,5,3,8.0,8.8,0.7
1,0,0,63,8,4,4,7.0,7.2,0.69
0,0,1,59,13,12,1,3.0,4.4,0.33
1,0,0,55,12,12,2,4.0,5.5,0.44
1,1,0,57,15,10,2,5.0,7.8,0.57
0,1,1,34,6,12,1,3.0,4.5,0.27
0,0,0,23,16,8,4,6.0,6.7,0.67
1,0,0,42,12,7,1,1.0,3.4,0.25
1,0,0,27,4,4,0,1.0,3.6,0.18
1,1,0,55,3,0,3,7.0,7.9,0.6
1,0,1,36,14,5,2,5.0,5.3,0.39
1,0,1,54,14,4,1,3.0,5.3,0.34
1,1,0,58,2,10,3,6.0,5.5,0.52
1,1,0,42,8,4,1,3.0,5.4,0.42
0,1,1,51,1,0,1,1.0,4.8,0.28
1,1,1,33,14,12,2,4.0,6.2,0.38
0,1,0,36,10,1,4,6.0,6.9,0.59
1,1,1,45,12,11,2,5.0,8.0,0.62
0,1,0,21,16,5,3,7.0,8.7,0.76
1,0,0,21,5,12,1,3.0,4.2,0.33
0,0,0,45,5,7,2,2.0,4.2,0.28
1,0,0,62,20,12,3,6.0,7.2,0.62
1,0,1,44,3,7,2,4.0,5.2,0.45
0,0,1,30,8,11,2,2.0,3.3,0.24
0,1,0,22,3,5,0,1.0,1.6,0.45
0,0,0,60,5,0,2,5.0,6.3,0.53
0,0,1,43,8,5,2,4.0,6.8,0.59
1,1,1,43,13,8,0,1.0,2.0,0.45
0,1,1,32,2,8,3,6.0,5.9,0.65
0,1,1,37,8,0,3,5.0,3.8,0.29
1,1,1,64,4,6,1,2.0,2.7,0.19
1,0,0,46,10,10,4,7.0,8.1,0.65
1,1,1,49,6,11,1,1.0,1.3,0.02
1,0,1,58,10,0,2,4.0,7.0,0.47
0,0,0,36,7,8,4,7.0,5.9,0.82
1,0,0,47,11,2,2,5.0,6.6,0.43
1,0,0,57,12,1,2,5.0,7.9,0.61
1,1,0,42,2,12,0,2.0,4.7,0.33
1,0,0,56,20,3,2,4.0,7.9,0.6
1,1,0,21,4,11,2,6.0,6.4,0.52
0,0,1,27,1,12,5,9.0,9.3,0.93
0,1,0,40,4,0,2,4.0,6.3,0.47
0,0,0,54,16,8,2,4.0,6.4,0.53
0,0,0,52,4,0,3,7.0,6.9,0.51
1,0,1,34,10,10,1,1.0,4.9,0.26
1,1,1,21,18,11,3,4.0,5.2,0.42
1,0,0,44,5,6,2,5.0,6.2,0.58
1,0,1,57,5,3,1,2.0,5.3,0.3
0,1,1,63,2,5,3,6.0,6.2,0.56
0,1,0,45,16,1,2,5.0,6.1,0.57
1,0,1,58,7,11,2,3.0,5.5,0.3
0,0,0,63,16,7,4,8.0,9.5,0.86
0,1,0,21,12,0,2,6.0,6.3,0.62
0,0,1,62,18,5,3,5.0,5.2,0.41
0,0,1,24,12,6,1,4.0,5.1,0.38
1,0,1,26,9,11,2,5.0,5.9,0.41
1,0,0,62,17,3,2,5.0,5.8,0.46
1,0,0,43,12,10,2,4.0,5.9,0.44
1,1,0,42,9,2,1,1.0,3.2,0.24
1,0,1,34,19,7,2,4.0,6.1,0.39
1,0,1,34,20,12,3,5.0,5.7,0.45
1,0,0,48,9,6,2,4.0,7.5,0.53
1,0,0,43,18,6,2,4.0,6.0,0.53
1,0,0,26,2,4,2,2.0,3.9,0.21
0,0,0,28,7,7,4,8.0,8.4,0.77
1,1,1,63,3,5,1,2.0,6.0,0.37
0,0,0,59,6,2,3,8.0,5.9,0.93
1,0,1,52,13,9,4,7.0,5.9,0.67
0,0,1,33,2,7,1,3.0,4.9,0.38
0,1,1,58,17,5,3,4.0,6.3,0.47
0,0,0,34,15,4,4,8.0,8.0,0.69
0,0,0,59,5,8,2,7.0,7.1,0.72
0,0,0,54,6,5,4,8.0,7.3,0.73
1,1,0,63,8,5,4,8.0,8.2,0.72
1,1,0,63,6,0,2,6.0,7.1,0.58
1,0,1,42,18,0,2,5.0,4.5,0.38
1,0,1,40,3,6,1,4.0,5.0,0.36
0,0,0,63,15,3,2,5.0,4.2,0.32
0,1,1,56,13,11,1,3.0,4.8,0.35
1,0,1,28,14,2,4,8.0,9.4,0.83
0,0,1,38,19,7,4,7.0,7.9,0.73
0,1,1,22,11,12,0,2.0,2.1,0.15
0,0,1,61,7,12,2,5.0,4.2,0.3
0,0,0,46,11,8,1,3.0,6.6,0.47
1,1,0,55,2,4,4,6.0,7.1,0.68
0,1,0,34,2,11,5,10.0,9.7,0.87
1,1,1,38,10,10,1,2.0,5.5,0.4
1,0,0,65,5,5,1,3.0,5.2,0.43
0,1,0,23,17,0,4,7.0,8.4,0.64
0,1,0,39,15,8,2,3.0,3.4,0.26
0,0,0,54,19,4,2,4.0,7.2,0.59
0,0,0,30,1,5,2,6.0,7.0,0.52
1,0,0,33,2,0,2,5.0,7.3,0.56
0,0,0,37,8,4,3,6.0,6.5,0.56
1,0,1,41,15,8,0,1.0,5.9,0.25
0,0,0,49,18,10,1,4.0,5.8,0.53
0,0,0,30,18,2,2,4.0,6.2,0.4
1,0,0,57,17,7,2,4.0,4.2,0.31
0,1,0,59,18,5,3,4.0,8.9,0.83
0,0,0,49,13,12,1,5.0,6.6,0.54
1,0,1,27,1,3,2,4.0,5.5,0.36
0,1,0,38,6,6,2,6.0,7.5,0.55
0,0,1,50,2,8,1,2.0,3.8,0.22
0,0,1,29,7,3,4,4.0,6.9,0.69
1,1,1,52,10,10,3,5.0,5.0,0.4
0,0,1,42,9,3,3,6.0,7.9,0.64
0,0,1,46,18,2,3,5.0,6.5,0.48
1,0,1,61,11,5,1,3.0,5.2,0.39
1,0,1,24,1,10,3,5.0,5.6,0.4
1,1,1,53,13,11,2,4.0,6.2,0.49
0,0,1,55,16,12,2,4.0,5.9,0.16
1,0,0,41,11,9,2,2.0,3.9,0.29
0,0,1,43,6,5,2,5.0,6.1,0.41
0,0,1,25,15,11,2,5.0,5.5,0.37
0,1,0,59,8,7,3,6.0,8.6,0.68
1,0,1,43,10,4,2,5.0,7.1,0.58
1,0,0,21,2,3,2,6.0,6.9,0.55
0,0,0,38,4,6,2,6.0,7.7,0.45
1,1,1,34,13,0,2,3.0,6.9,0.5
0,1,0,42,4,8,2,4.0,6.3,0.57
0,1,1,56,15,5,2,3.0,6.3,0.44
0,0,1,46,3,9,2,3.0,5.7,0.37
1,0,0,27,17,12,2,6.0,5.9,0.61
1,0,0,51,4,11,1,1.0,2.5,0.45
0,0,0,59,3,9,3,7.0,6.3,0.62
0,1,0,55,5,0,2,4.0,6.7,0.57
1,0,1,61,4,11,1,4.0,1.9,0.03
0,1,1,22,2,4,2,3.0,4.6,0.45
0,0,1,59,6,4,3,5.0,4.9,0.37
0,0,1,42,14,10,1,4.0,5.4,0.35
0,0,0,46,19,4,4,6.0,7.0,0.55
1,0,1,33,7,9,2,4.0,5.9,0.18
1,0,1,42,20,8,2,4.0,6.5,0.61
0,1,1,45,11,8,2,3.0,4.0,0.2
1,1,1,64,15,11,0,1.0,4.0,0.2
1,1,0,39,2,10,3,7.0,5.9,0.64
1,0,0,54,9,9,2,6.0,7.2,0.45
1,0,0,23,20,6,1,2.0,5.9,0.43
1,0,1,25,4,2,1,3.0,3.7,0.17
1,0,1,64,3,8,2,2.0,5.9,0.45
0,0,0,38,8,6,2,4.0,5.2,0.47
0,0,0,27,9,7,0,1.0,2.8,0.12
1,0,0,34,1,0,5,10.0,5.9,1.0
1,1,0,50,5,10,3,6.0,8.2,0.65
1,0,1,61,10,1,3,4.0,5.5,0.42
1,0,0,56,4,8,1,1.0,3.6,0.28
0,1,1,50,13,4,2,5.0,6.9,0.67
1,1,0,48,19,12,5,9.0,9.4,0.88
0,0,1,54,14,4,1,3.0,3.6,0.29
0,0,0,64,2,10,2,5.0,6.8,0.6
0,0,1,33,10,6,0,1.0,3.8,0.17
1,1,1,29,3,7,1,2.0,1.6,0.08
0,0,0,64,18,2,2,4.0,5.4,0.48
1,0,0,35,10,1,2,4.0,7.3,0.51
1,0,1,54,15,6,0,2.0,4.0,0.3
1,0,0,61,5,0,2,4.0,7.0,0.54
1,0,0,36,18,7,4,8.0,7.8,0.74
1,1,0,36,13,2,1,2.0,2.5,0.45
0,0,1,58,10,2,1,3.0,3.4,0.29
0,1,0,35,18,10,3,6.0,7.4,0.52
1,1,0,38,6,9,3,6.0,6.6,0.46
1,0,0,40,9,2,1,3.0,4.7,0.37
0,0,1,24,17,1,1,4.0,4.7,0.36
0,1,0,59,12,7,2,5.0,4.9,0.39
0,0,0,56,12,9,2,6.0,8.7,0.7
1,1,0,61,5,1,2,4.0,5.6,0.38
0,0,1,58,20,5,5,9.0,9.4,0.88
0,0,1,49,8,5,1,2.0,3.6,0.22
1,0,0,25,10,6,3,6.0,7.2,0.63
0,0,0,34,3,3,4,8.0,5.9,0.68
0,1,0,35,13,4,2,5.0,7.2,0.66
1,0,1,38,19,1,2,5.0,6.5,0.49
0,1,0,60,17,9,3,7.0,5.9,0.77
0,0,0,51,13,0,1,2.0,5.2,0.44
1,0,0,38,4,4,2,4.0,5.9,0.6
0,0,1,35,19,12,0,1.0,5.9,0.2
1,0,1,35,14,0,2,4.0,5.5,0.45
1,1,1,27,6,4,0,1.0,4.1,0.2
0,0,0,41,9,9,5,10.0,9.2,0.75
1,1,1,60,19,12,1,1.0,2.6,0.09
1,0,0,58,4,2,1,2.0,5.5,0.39
0,0,1,53,1,8,2,4.0,2.5,0.14
1,0,1,52,13,1,3,7.0,5.8,0.55
1,0,1,35,2,2,1,1.0,3.2,0.2
0,1,0,41,11,4,3,7.0,8.3,0.66
0,0,0,23,4,0,1,3.0,4.6,0.38
1,1,0,31,6,8,0,4.0,4.1,0.26
1,0,0,32,11,11,2,4.0,6.8,0.46
0,0,1,34,7,1,1,3.0,4.9,0.43
0,0,0,23,7,12,3,6.0,6.4,0.51
0,0,0,61,13,1,0,1.0,5.9,0.16
1,0,0,37,14,12,2,4.0,6.9,0.5
1,0,0,37,12,6,2,5.0,6.0,0.55
1,0,1,55,15,10,3,5.0,6.5,0.5
1,1,1,22,19,12,1,2.0,5.7,0.48
1,0,1,56,20,10,3,6.0,5.7,0.45
0,0,0,23,17,3,2,5.0,7.6,0.6
0,0,0,57,18,1,3,5.0,6.0,0.53
1,1,1,61,1,0,1,3.0,5.6,0.34
1,1,1,28,1,5,3,5.0,5.7,0.39
1,0,0,21,8,10,3,4.0,6.3,0.43
0,0,1,44,12,8,3,7.0,6.7,0.63
0,0,1,33,19,2,3,6.0,4.7,0.43
1,1,1,42,3,2,2,4.0,3.9,0.32
0,0,1,31,19,8,1,4.0,3.8,0.33
1,1,1,56,4,0,0,1.0,3.9,0.21
0,0,0,57,6,2,4,8.0,6.7,0.65
1,1,1,38,13,7,2,2.0,3.5,0.27
1,0,0,33,15,6,3,8.0,7.9,0.76
1,0,1,45,1,10,1,1.0,2.0,0.04
1,1,0,41,12,4,0,1.0,1.7,0.13
1,1,1,51,11,0,1,4.0,6.7,0.5
1,0,1,60,14,7,1,3.0,3.2,0.11
1,1,1,25,8,10,1,2.0,4.9,0.42
0,0,0,38,18,10,3,6.0,8.8,0.7
0,0,1,54,8,0,3,5.0,6.2,0.41
0,1,0,40,1,12,1,3.0,4.2,0.25
1,1,1,23,7,0,0,2.0,3.3,0.18
1,0,0,32,12,4,1,2.0,5.2,0.28
0,0,1,46,4,5,2,3.0,6.4,0.44
1,1,0,36,15,6,3,6.0,6.6,0.52
1,0,1,58,13,11,1,2.0,4.8,0.28
1,1,0,34,9,6,2,5.0,6.2,0.53
1,0,1,45,14,5,0,2.0,4.7,0.27
1,0,0,36,8,9,0,1.0,3.1,0.14
1,1,0,57,12,4,3,6.0,6.0,0.53
0,1,1,58,5,12,1,2.0,5.9,0.22
1,0,1,62,4,12,1,2.0,3.3,0.24
1,1,0,48,8,7,3,6.0,8.1,0.67
1,1,1,51,7,2,2,4.0,6.2,0.38
0,0,1,52,15,10,2,6.0,6.9,0.65
1,0,0,45,12,9,1,3.0,5.5,0.46
1,0,0,39,10,7,3,5.0,4.2,0.31
1,0,0,32,7,2,3,7.0,6.1,0.55
1,0,1,35,5,3,2,4.0,5.9,0.4
1,1,0,33,18,12,0,1.0,5.9,0.45
1,1,0,41,4,12,4,7.0,6.2,0.51
1,0,1,33,7,3,3,5.0,5.9,0.37
1,1,1,24,10,9,1,3.0,4.7,0.23
1,0,1,23,16,2,2,4.0,5.1,0.41
1,0,0,23,11,6,1,2.0,4.7,0.27
0,0,1,50,6,9,1,3.0,6.1,0.41
1,1,0,30,1,0,2,4.0,2.7,0.16
0,0,0,33,17,12,4,7.0,6.9,0.66
1,0,1,29,18,5,3,6.0,5.9,0.49
1,1,1,60,19,8,0,2.0,5.9,0.34
1,0,0,61,16,5,1,3.0,4.4,0.29
0,0,1,38,19,0,3,5.0,6.5,0.47
0,1,1,39,11,1,0,1.0,5.9,0.07
